Id,0
Packets Sent,60001
Id,sw0
Packets Received,60001
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,0.764706
Id,s0
Average Wait Time,0.002743
Bytes per Second,89526.321476
Id,0
Packets Sent,60001
Id,sw0
Packets Received,60001
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,0.764706
Id,s0
Average Wait Time,0.002743
Bytes per Second,89526.321476
Id,0
Packets Sent,60032
Id,sw0
Packets Received,60032
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,0.748815
Id,s0
Average Wait Time,0.002745
Bytes per Second,90003.531625
