Id,0
Packets Sent,60331
Id,sw0
Packets Received,60331
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,4995.151659
Id,s0
Average Wait Time,17.226556
Bytes per Second,199990.152697
Id,0
Packets Sent,60331
Id,sw0
Packets Received,60331
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,4995.151659
Id,s0
Average Wait Time,17.226556
Bytes per Second,199990.152697
Id,0
Packets Sent,60700
Id,sw0
Packets Received,60700
Packets Dropped,0
Loss Rate,0.0
Average Buffer Occupancy,5508.281407
Id,s0
Average Wait Time,15.203864
Bytes per Second,199986.943317
