id,0,1,2,3
Packets Sent,60000,46597,60675,59919
id,sw0
Packets Received,227191
Packets Dropped,115572
Loss Rate,0.5087
Average Buffer Occupancy,23610.517073
id,s0
Average Wait Time,48.315206
Bytes per Second,199998.927228
id,0,1,2,3
Packets Sent,60000,46597,60675,59919
id,sw0
Packets Received,227191
Packets Dropped,115572
Loss Rate,0.5087
Average Buffer Occupancy,23610.517073
id,s0
Average Wait Time,48.315206
Bytes per Second,199998.927228
id,0,1,2,3
Packets Sent,60000,47110,60816,60304
id,sw0
Packets Received,228230
Packets Dropped,116564
Loss Rate,0.51073
Average Buffer Occupancy,20910.242424
id,s0
Average Wait Time,34.341083
Bytes per Second,199995.610614
