Id,0,1,2,3,4,5,6,7
Packets Sent,47062,47276,46776,47459,47145,47380,46911,47635
Id,sw0
Packets Received,377644
Packets Dropped,344359
Loss Rate,0.911861
Average Buffer Occupancy,6926.370588
Id,s0
Average Wait Time,48.566723
Bytes per Second,199986.59948
Id,0,1,2,3,4,5,6,7
Packets Sent,47062,47276,46776,47459,47145,47380,46911,47635
Id,sw0
Packets Received,377644
Packets Dropped,344359
Loss Rate,0.911861
Average Buffer Occupancy,6926.370588
Id,s0
Average Wait Time,48.566723
Bytes per Second,199986.59948
Id,0,1,2,3,4,5,6,7
Packets Sent,46549,46581,47205,46768,47554,47184,46786,46421
Id,sw0
Packets Received,375048
Packets Dropped,342597
Loss Rate,0.913475
Average Buffer Occupancy,6183.974227
Id,s0
Average Wait Time,33.869273
Bytes per Second,199996.525714
