id,0,1,2,3,4,5,6,7
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000
id,sw0
Packets Received,480000
Packets Dropped,313335
Loss Rate,0.652781
Average Buffer Occupancy,31588.329843
id,s0
Average Wait Time,41.346427
Bytes per Second,199996.5
id,0,1,2,3,4,5,6,7
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000
id,sw0
Packets Received,480000
Packets Dropped,313335
Loss Rate,0.652781
Average Buffer Occupancy,31588.329843
id,s0
Average Wait Time,41.346427
Bytes per Second,199996.5
id,0,1,2,3,4,5,6,7
Packets Sent,60000,60000,60000,60000,60000,60000,60000,60000
id,sw0
Packets Received,480000
Packets Dropped,313335
Loss Rate,0.652781
Average Buffer Occupancy,31835.812183
id,s0
Average Wait Time,35.424384
Bytes per Second,199996.5
