Id,0,1,2,3,4,5,6,7
Packets Sent,60873,60725,60384,60754,60835,60991,60925,60970
Id,sw0
Packets Received,486457
Packets Dropped,399922
Loss Rate,0.822112
Average Buffer Occupancy,17309.262136
Id,s0
Average Wait Time,44.846066
Bytes per Second,199998.940998
Id,0,1,2,3,4,5,6,7
Packets Sent,60873,60725,60384,60754,60835,60991,60925,60970
Id,sw0
Packets Received,486457
Packets Dropped,399922
Loss Rate,0.822112
Average Buffer Occupancy,17309.262136
Id,s0
Average Wait Time,44.846066
Bytes per Second,199998.940998
Id,0,1,2,3,4,5,6,7
Packets Sent,60973,60649,60788,60968,60679,60801,60703,60623
Id,sw0
Packets Received,486184
Packets Dropped,399583
Loss Rate,0.821876
Average Buffer Occupancy,16556.388889
Id,s0
Average Wait Time,36.180208
Bytes per Second,199996.153617
