Id,0,1,2
Packets Sent,60768,60619,62301
Id,sw0
Packets Received,183688
Packets Dropped,121394
Loss Rate,0.660871
Average Buffer Occupancy,12459.695431
Id,s0
Average Wait Time,43.988361
Bytes per Second,199998.008952
Id,0,1,2
Packets Sent,60768,60619,62301
Id,sw0
Packets Received,183688
Packets Dropped,121394
Loss Rate,0.660871
Average Buffer Occupancy,12459.695431
Id,s0
Average Wait Time,43.988361
Bytes per Second,199998.008952
Id,0,1,2
Packets Sent,60855,60582,62234
Id,sw0
Packets Received,183671
Packets Dropped,121294
Loss Rate,0.660387
Average Buffer Occupancy,11552.01676
Id,s0
Average Wait Time,35.551576
Bytes per Second,199997.223868
